No.,Answer,Date,Month,Year,First,Second,Third,Fourth,Fifth
0,cigar,19,June,2021,c,i,g,a,r
1,rebut,20,June,2021,r,e,b,u,t
2,sissy,21,June,2021,s,i,s,s,y
3,humph,22,June,2021,h,u,m,p,h
4,awake,23,June,2021,a,w,a,k,e
5,blush,24,June,2021,b,l,u,s,h
6,focal,25,June,2021,f,o,c,a,l
7,evade,26,June,2021,e,v,a,d,e
8,naval,27,June,2021,n,a,v,a,l
9,serve,28,June,2021,s,e,r,v,e
10,heath,29,June,2021,h,e,a,t,h
11,dwarf,30,June,2021,d,w,a,r,f
12,model,1,July,2021,m,o,d,e,l
13,karma,2,July,2021,k,a,r,m,a
14,stink,3,July,2021,s,t,i,n,k
15,grade,4,July,2021,g,r,a,d,e
16,quiet,5,July,2021,q,u,i,e,t
17,bench,6,July,2021,b,e,n,c,h
18,abate,7,July,2021,a,b,a,t,e
19,feign,8,July,2021,f,e,i,g,n
20,major,9,July,2021,m,a,j,o,r
21,death,10,July,2021,d,e,a,t,h
22,fresh,11,July,2021,f,r,e,s,h
23,crust,12,July,2021,c,r,u,s,t
24,stool,13,July,2021,s,t,o,o,l
25,colon,14,July,2021,c,o,l,o,n
26,abase,15,July,2021,a,b,a,s,e
27,marry,16,July,2021,m,a,r,r,y
28,react,17,July,2021,r,e,a,c,t
29,batty,18,July,2021,b,a,t,t,y
30,pride,19,July,2021,p,r,i,d,e
31,floss,20,July,2021,f,l,o,s,s
32,helix,21,July,2021,h,e,l,i,x
33,croak,22,July,2021,c,r,o,a,k
34,staff,23,July,2021,s,t,a,f,f
35,paper,24,July,2021,p,a,p,e,r
36,unfed,25,July,2021,u,n,f,e,d
37,whelp,26,July,2021,w,h,e,l,p
38,trawl,27,July,2021,t,r,a,w,l
39,outdo,28,July,2021,o,u,t,d,o
40,adobe,29,July,2021,a,d,o,b,e
41,crazy,30,July,2021,c,r,a,z,y
42,sower,31,July,2021,s,o,w,e,r
43,repay,1,August,2021,r,e,p,a,y
44,digit,2,August,2021,d,i,g,i,t
45,crate,3,August,2021,c,r,a,t,e
46,cluck,4,August,2021,c,l,u,c,k
47,spike,5,August,2021,s,p,i,k,e
48,mimic,6,August,2021,m,i,m,i,c
49,pound,7,August,2021,p,o,u,n,d
50,maxim,8,August,2021,m,a,x,i,m
51,linen,9,August,2021,l,i,n,e,n
52,unmet,10,August,2021,u,n,m,e,t
53,flesh,11,August,2021,f,l,e,s,h
54,booby,12,August,2021,b,o,o,b,y
55,forth,13,August,2021,f,o,r,t,h
56,first,14,August,2021,f,i,r,s,t
57,stand,15,August,2021,s,t,a,n,d
58,belly,16,August,2021,b,e,l,l,y
59,ivory,17,August,2021,i,v,o,r,y
60,seedy,18,August,2021,s,e,e,d,y
61,print,19,August,2021,p,r,i,n,t
62,yearn,20,August,2021,y,e,a,r,n
63,drain,21,August,2021,d,r,a,i,n
64,bribe,22,August,2021,b,r,i,b,e
65,stout,23,August,2021,s,t,o,u,t
66,panel,24,August,2021,p,a,n,e,l
67,crass,25,August,2021,c,r,a,s,s
68,flume,26,August,2021,f,l,u,m,e
69,offal,27,August,2021,o,f,f,a,l
70,agree,28,August,2021,a,g,r,e,e
71,error,29,August,2021,e,r,r,o,r
72,swirl,30,August,2021,s,w,i,r,l
73,argue,31,August,2021,a,r,g,u,e
74,bleed,1,September,2021,b,l,e,e,d
75,delta,2,September,2021,d,e,l,t,a
76,flick,3,September,2021,f,l,i,c,k
77,totem,4,September,2021,t,o,t,e,m
78,wooer,5,September,2021,w,o,o,e,r
79,front,6,September,2021,f,r,o,n,t
80,shrub,7,September,2021,s,h,r,u,b
81,parry,8,September,2021,p,a,r,r,y
82,biome,9,September,2021,b,i,o,m,e
83,lapel,10,September,2021,l,a,p,e,l
84,start,11,September,2021,s,t,a,r,t
85,greet,12,September,2021,g,r,e,e,t
86,goner,13,September,2021,g,o,n,e,r
87,golem,14,September,2021,g,o,l,e,m
88,lusty,15,September,2021,l,u,s,t,y
89,loopy,16,September,2021,l,o,o,p,y
90,round,17,September,2021,r,o,u,n,d
91,audit,18,September,2021,a,u,d,i,t
92,lying,19,September,2021,l,y,i,n,g
93,gamma,20,September,2021,g,a,m,m,a
94,labor,21,September,2021,l,a,b,o,r
95,islet,22,September,2021,i,s,l,e,t
96,civic,23,September,2021,c,i,v,i,c
97,forge,24,September,2021,f,o,r,g,e
98,corny,25,September,2021,c,o,r,n,y
99,moult,26,September,2021,m,o,u,l,t
100,basic,27,September,2021,b,a,s,i,c
101,salad,28,September,2021,s,a,l,a,d
102,agate,29,September,2021,a,g,a,t,e
103,spicy,30,September,2021,s,p,i,c,y
104,spray,1,October,2021,s,p,r,a,y
105,essay,2,October,2021,e,s,s,a,y
106,fjord,3,October,2021,f,j,o,r,d
107,spend,4,October,2021,s,p,e,n,d
108,kebab,5,October,2021,k,e,b,a,b
109,guild,6,October,2021,g,u,i,l,d
110,aback,7,October,2021,a,b,a,c,k
111,motor,8,October,2021,m,o,t,o,r
112,alone,9,October,2021,a,l,o,n,e
113,hatch,10,October,2021,h,a,t,c,h
114,hyper,11,October,2021,h,y,p,e,r
115,thumb,12,October,2021,t,h,u,m,b
116,dowry,13,October,2021,d,o,w,r,y
117,ought,14,October,2021,o,u,g,h,t
118,belch,15,October,2021,b,e,l,c,h
119,dutch,16,October,2021,d,u,t,c,h
120,pilot,17,October,2021,p,i,l,o,t
121,tweed,18,October,2021,t,w,e,e,d
122,comet,19,October,2021,c,o,m,e,t
123,jaunt,20,October,2021,j,a,u,n,t
124,enema,21,October,2021,e,n,e,m,a
125,steed,22,October,2021,s,t,e,e,d
126,abyss,23,October,2021,a,b,y,s,s
127,growl,24,October,2021,g,r,o,w,l
128,fling,25,October,2021,f,l,i,n,g
129,dozen,26,October,2021,d,o,z,e,n
130,boozy,27,October,2021,b,o,o,z,y
131,erode,28,October,2021,e,r,o,d,e
132,world,29,October,2021,w,o,r,l,d
133,gouge,30,October,2021,g,o,u,g,e
134,click,31,October,2021,c,l,i,c,k
135,briar,1,November,2021,b,r,i,a,r
136,great,2,November,2021,g,r,e,a,t
137,altar,3,November,2021,a,l,t,a,r
138,pulpy,4,November,2021,p,u,l,p,y
139,blurt,5,November,2021,b,l,u,r,t
140,coast,6,November,2021,c,o,a,s,t
141,duchy,7,November,2021,d,u,c,h,y
142,groin,8,November,2021,g,r,o,i,n
143,fixer,9,November,2021,f,i,x,e,r
144,group,10,November,2021,g,r,o,u,p
145,rogue,11,November,2021,r,o,g,u,e
146,badly,12,November,2021,b,a,d,l,y
147,smart,13,November,2021,s,m,a,r,t
148,pithy,14,November,2021,p,i,t,h,y
149,gaudy,15,November,2021,g,a,u,d,y
150,chill,16,November,2021,c,h,i,l,l
151,heron,17,November,2021,h,e,r,o,n
152,vodka,18,November,2021,v,o,d,k,a
153,finer,19,November,2021,f,i,n,e,r
154,surer,20,November,2021,s,u,r,e,r
155,radio,21,November,2021,r,a,d,i,o
156,rouge,22,November,2021,r,o,u,g,e
157,perch,23,November,2021,p,e,r,c,h
158,retch,24,November,2021,r,e,t,c,h
159,wrote,25,November,2021,w,r,o,t,e
160,clock,26,November,2021,c,l,o,c,k
161,tilde,27,November,2021,t,i,l,d,e
162,store,28,November,2021,s,t,o,r,e
163,prove,29,November,2021,p,r,o,v,e
164,bring,30,November,2021,b,r,i,n,g
165,solve,1,December,2021,s,o,l,v,e
166,cheat,2,December,2021,c,h,e,a,t
167,grime,3,December,2021,g,r,i,m,e
168,exult,4,December,2021,e,x,u,l,t
169,usher,5,December,2021,u,s,h,e,r
170,epoch,6,December,2021,e,p,o,c,h
171,triad,7,December,2021,t,r,i,a,d
172,break,8,December,2021,b,r,e,a,k
173,rhino,9,December,2021,r,h,i,n,o
174,viral,10,December,2021,v,i,r,a,l
175,conic,11,December,2021,c,o,n,i,c
176,masse,12,December,2021,m,a,s,s,e
177,sonic,13,December,2021,s,o,n,i,c
178,vital,14,December,2021,v,i,t,a,l
179,trace,15,December,2021,t,r,a,c,e
180,using,16,December,2021,u,s,i,n,g
181,peach,17,December,2021,p,e,a,c,h
182,champ,18,December,2021,c,h,a,m,p
183,baton,19,December,2021,b,a,t,o,n
184,brake,20,December,2021,b,r,a,k,e
185,pluck,21,December,2021,p,l,u,c,k
186,craze,22,December,2021,c,r,a,z,e
187,gripe,23,December,2021,g,r,i,p,e
188,weary,24,December,2021,w,e,a,r,y
189,picky,25,December,2021,p,i,c,k,y
190,acute,26,December,2021,a,c,u,t,e
191,ferry,27,December,2021,f,e,r,r,y
192,aside,28,December,2021,a,s,i,d,e
193,tapir,29,December,2021,t,a,p,i,r
194,troll,30,December,2021,t,r,o,l,l
195,unify,31,December,2021,u,n,i,f,y
196,rebus,1,January,2022,r,e,b,u,s
197,boost,2,January,2022,b,o,o,s,t
198,truss,3,January,2022,t,r,u,s,s
199,siege,4,January,2022,s,i,e,g,e
200,tiger,5,January,2022,t,i,g,e,r
201,banal,6,January,2022,b,a,n,a,l
202,slump,7,January,2022,s,l,u,m,p
203,crank,8,January,2022,c,r,a,n,k
204,gorge,9,January,2022,g,o,r,g,e
205,query,10,January,2022,q,u,e,r,y
206,drink,11,January,2022,d,r,i,n,k
207,favor,12,January,2022,f,a,v,o,r
208,abbey,13,January,2022,a,b,b,e,y
209,tangy,14,January,2022,t,a,n,g,y
210,panic,15,January,2022,p,a,n,i,c
211,solar,16,January,2022,s,o,l,a,r
212,shire,17,January,2022,s,h,i,r,e
213,proxy,18,January,2022,p,r,o,x,y
214,point,19,January,2022,p,o,i,n,t
215,robot,20,January,2022,r,o,b,o,t
216,prick,21,January,2022,p,r,i,c,k
217,wince,22,January,2022,w,i,n,c,e
218,crimp,23,January,2022,c,r,i,m,p
219,knoll,24,January,2022,k,n,o,l,l
220,sugar,25,January,2022,s,u,g,a,r
221,whack,26,January,2022,w,h,a,c,k
222,mount,27,January,2022,m,o,u,n,t
223,perky,28,January,2022,p,e,r,k,y
224,could,29,January,2022,c,o,u,l,d
225,wrung,30,January,2022,w,r,u,n,g
226,light,31,January,2022,l,i,g,h,t
227,those,1,February,2022,t,h,o,s,e
228,moist,2,February,2022,m,o,i,s,t
229,shard,3,February,2022,s,h,a,r,d
230,pleat,4,February,2022,p,l,e,a,t
231,aloft,5,February,2022,a,l,o,f,t
232,skill,6,February,2022,s,k,i,l,l
233,elder,7,February,2022,e,l,d,e,r
234,frame,8,February,2022,f,r,a,m,e
235,humor,9,February,2022,h,u,m,o,r
236,pause,10,February,2022,p,a,u,s,e
237,ulcer,11,February,2022,u,l,c,e,r
238,ultra,12,February,2022,u,l,t,r,a
239,robin,13,February,2022,r,o,b,i,n
240,cynic,14,February,2022,c,y,n,i,c
241,aroma,15,February,2022,a,r,o,m,a
242,caulk,16,February,2022,c,a,u,l,k
243,shake,17,February,2022,s,h,a,k,e
244,dodge,18,February,2022,d,o,d,g,e
245,swill,19,February,2022,s,w,i,l,l
246,tacit,20,February,2022,t,a,c,i,t
247,other,21,February,2022,o,t,h,e,r
248,thorn,22,February,2022,t,h,o,r,n
249,trove,23,February,2022,t,r,o,v,e
250,bloke,24,February,2022,b,l,o,k,e
251,vivid,25,February,2022,v,i,v,i,d
252,spill,26,February,2022,s,p,i,l,l
253,chant,27,February,2022,c,h,a,n,t
254,choke,28,February,2022,c,h,o,k,e
255,rupee,1,March,2022,r,u,p,e,e
256,nasty,2,March,2022,n,a,s,t,y
